lon,lat,type,a
-88.0,31.600000,GR,0.056916000
-87.9,31.600000,GR,0.055537000
-87.8,31.600000,GR,0.054009000
-87.7,31.600000,GR,0.052362000
-87.6,31.600000,GR,0.050626000
-87.5,31.600000,GR,0.048831000
-87.4,31.600000,GR,0.047001000
-87.3,31.600000,GR,0.045159000
-87.2,31.600000,GR,0.043323000
-87.1,31.600000,GR,0.041512000
-87.0,31.600000,GR,0.039740000
-86.9,31.600000,GR,0.038020000
-86.8,31.600000,GR,0.036364000
-88.2,31.700000,GR,0.060656000
-88.1,31.700000,GR,0.059737000
-88.0,31.700000,GR,0.058601000
-87.9,31.700000,GR,0.057276000
-87.8,31.700000,GR,0.055792000
-87.7,31.700000,GR,0.054179000
-87.6,31.700000,GR,0.052464000
-87.5,31.700000,GR,0.050674000
-87.4,31.700000,GR,0.048834000
-87.3,31.700000,GR,0.046965000
-87.2,31.700000,GR,0.045087000
-87.1,31.700000,GR,0.043215000
-87.0,31.700000,GR,0.041365000
-86.9,31.700000,GR,0.039549000
-86.8,31.700000,GR,0.037782000
-86.7,31.700000,GR,0.036078000
-86.6,31.700000,GR,0.034452000
-86.5,31.700000,GR,0.032920000
-86.4,31.700000,GR,0.031494000
-86.3,31.700000,GR,0.030187000
-86.2,31.700000,GR,0.029006000
-86.1,31.700000,GR,0.027956000
-88.4,31.800000,GR,0.063201000
-88.3,31.800000,GR,0.062952000
-88.2,31.800000,GR,0.062434000
-88.1,31.800000,GR,0.061663000
-88.0,31.800000,GR,0.060661000
-87.9,31.800000,GR,0.059453000
-87.8,31.800000,GR,0.058065000
-87.7,31.800000,GR,0.056522000
-87.6,31.800000,GR,0.054851000
-87.5,31.800000,GR,0.053077000
-87.4,31.800000,GR,0.051226000
-87.3,31.800000,GR,0.049324000
-87.2,31.800000,GR,0.047390000
-87.1,31.800000,GR,0.045442000
-87.0,31.800000,GR,0.043494000
-86.9,31.800000,GR,0.041559000
-86.8,31.800000,GR,0.039652000
-86.7,31.800000,GR,0.037790000
-86.6,31.800000,GR,0.035992000
-86.5,31.800000,GR,0.034279000
-86.4,31.800000,GR,0.032671000
-86.3,31.800000,GR,0.031184000
-86.2,31.800000,GR,0.029833000
-86.1,31.800000,GR,0.028628000
-86.0,31.800000,GR,0.027570000
-85.9,31.800000,GR,0.026659000
-85.8,31.800000,GR,0.025890000
-85.7,31.800000,GR,0.025253000
-85.6,31.800000,GR,0.024738000
-85.5,31.800000,GR,0.024335000
-88.5,31.900000,GR,0.064727000
-88.4,31.900000,GR,0.065076000
-88.3,31.900000,GR,0.065147000
-88.2,31.900000,GR,0.064931000
-88.1,31.900000,GR,0.064433000
-88.0,31.900000,GR,0.063663000
-87.9,31.900000,GR,0.062642000
-87.8,31.900000,GR,0.061389000
-87.7,31.900000,GR,0.059927000
-87.6,31.900000,GR,0.058283000
-87.5,31.900000,GR,0.056487000
-87.4,31.900000,GR,0.054575000
-87.3,31.900000,GR,0.052580000
-87.2,31.900000,GR,0.050531000
-87.1,31.900000,GR,0.048449000
-87.0,31.900000,GR,0.046350000
-86.9,31.900000,GR,0.044244000
-86.8,31.900000,GR,0.042146000
-86.7,31.900000,GR,0.040072000
-86.6,31.900000,GR,0.038046000
-86.5,31.900000,GR,0.036095000
-86.4,31.900000,GR,0.034246000
-86.3,31.900000,GR,0.032525000
-86.2,31.900000,GR,0.030952000
-86.1,31.900000,GR,0.029542000
-86.0,31.900000,GR,0.028303000
-85.9,31.900000,GR,0.027234000
-85.8,31.900000,GR,0.026331000
-85.7,31.900000,GR,0.025584000
-85.6,31.900000,GR,0.024982000
-85.5,31.900000,GR,0.024510000
-85.4,31.900000,GR,0.024157000
-88.7,32.000000,GR,0.064527000
-88.6,32.000000,GR,0.065884000
-88.5,32.000000,GR,0.067075000
-88.4,32.000000,GR,0.068036000
-88.3,32.000000,GR,0.068704000
-88.2,32.000000,GR,0.069029000
-88.1,32.000000,GR,0.068984000
-88.0,32.000000,GR,0.068568000
-87.9,32.000000,GR,0.067791000
-87.8,32.000000,GR,0.066675000
-87.7,32.000000,GR,0.065243000
-87.6,32.000000,GR,0.063533000
-87.5,32.000000,GR,0.061590000
-87.4,32.000000,GR,0.059471000
-87.3,32.000000,GR,0.057235000
-87.2,32.000000,GR,0.054930000
-87.1,32.000000,GR,0.052588000
-87.0,32.000000,GR,0.050227000
-86.9,32.000000,GR,0.047852000
-86.8,32.000000,GR,0.045473000
-86.7,32.000000,GR,0.043104000
-86.6,32.000000,GR,0.040768000
-86.5,32.000000,GR,0.038499000
-86.4,32.000000,GR,0.036332000
-86.3,32.000000,GR,0.034302000
-86.2,32.000000,GR,0.032438000
-86.1,32.000000,GR,0.030762000
-86.0,32.000000,GR,0.029286000
-85.9,32.000000,GR,0.028012000
-85.8,32.000000,GR,0.026936000
-85.7,32.000000,GR,0.026046000
-85.6,32.000000,GR,0.025328000
-85.5,32.000000,GR,0.024766000
-85.4,32.000000,GR,0.024346000
-85.3,32.000000,GR,0.024056000
-88.7,32.100000,GR,0.066486000
-88.6,32.100000,GR,0.068781000
-88.5,32.100000,GR,0.071029000
-88.4,32.100000,GR,0.073082000
-88.3,32.100000,GR,0.074782000
-88.2,32.100000,GR,0.076000000
-88.1,32.100000,GR,0.076656000
-88.0,32.100000,GR,0.076726000
-87.9,32.100000,GR,0.076221000
