lon,lat,type,a
-87.1,37.600000,GR,0.17081000
-87.0,37.600000,GR,0.13335000
-86.9,37.600000,GR,0.10263000
-86.8,37.600000,GR,0.079365000
-86.7,37.600000,GR,0.062590000
-86.6,37.600000,GR,0.050697000
-88.4,37.700000,GR,1.0357000
-88.3,37.700000,GR,0.87239000
-88.2,37.700000,GR,0.64803000
-88.1,37.700000,GR,0.45683000
-88.0,37.700000,GR,0.34265000
-87.9,37.700000,GR,0.30074000
-87.8,37.700000,GR,0.30498000
-87.7,37.700000,GR,0.32775000
-87.6,37.700000,GR,0.34765000
-87.5,37.700000,GR,0.35152000
-87.4,37.700000,GR,0.33451000
-87.3,37.700000,GR,0.29905000
-87.2,37.700000,GR,0.25229000
-87.1,37.700000,GR,0.20280000
-87.0,37.700000,GR,0.15756000
-86.9,37.700000,GR,0.12049000
-86.8,37.700000,GR,0.092426000
-86.7,37.700000,GR,0.072219000
-86.6,37.700000,GR,0.057938000
-86.5,37.700000,GR,0.048112000
-89.0,37.800000,GR,0.24545000
-88.9,37.800000,GR,0.30780000
-88.8,37.800000,GR,0.43583000
-88.7,37.800000,GR,0.62463000
-88.6,37.800000,GR,0.82571000
-88.5,37.800000,GR,0.95649000
-88.4,37.800000,GR,0.95241000
-88.3,37.800000,GR,0.81969000
-88.2,37.800000,GR,0.62996000
-88.1,37.800000,GR,0.46341000
-88.0,37.800000,GR,0.36242000
-87.9,37.800000,GR,0.32739000
-87.8,37.800000,GR,0.33617000
-87.7,37.800000,GR,0.36217000
-87.6,37.800000,GR,0.38358000
-87.5,37.800000,GR,0.38681000
-87.4,37.800000,GR,0.36721000
-87.3,37.800000,GR,0.32784000
-87.2,37.800000,GR,0.27660000
-87.1,37.800000,GR,0.22269000
-87.0,37.800000,GR,0.17350000
-86.9,37.800000,GR,0.13308000
-86.8,37.800000,GR,0.10233000
-86.7,37.800000,GR,0.080019000
-86.6,37.800000,GR,0.064129000
-86.5,37.800000,GR,0.052713000
-89.3,37.900000,GR,0.23096000
-89.2,37.900000,GR,0.20110000
-89.1,37.900000,GR,0.18445000
-89.0,37.900000,GR,0.19160000
-88.9,37.900000,GR,0.23612000
-88.8,37.900000,GR,0.32783000
-88.7,37.900000,GR,0.45968000
-88.6,37.900000,GR,0.59732000
-88.5,37.900000,GR,0.68844000
-88.4,37.900000,GR,0.69430000
-88.3,37.900000,GR,0.61846000
-88.2,37.900000,GR,0.50382000
-88.1,37.900000,GR,0.40152000
-88.0,37.900000,GR,0.34239000
-87.9,37.900000,GR,0.32980000
-87.8,37.900000,GR,0.34872000
-87.7,37.900000,GR,0.37802000
-87.6,37.900000,GR,0.39903000
-87.5,37.900000,GR,0.40006000
-87.4,37.900000,GR,0.37784000
-87.3,37.900000,GR,0.33639000
-87.2,37.900000,GR,0.28398000
-87.1,37.900000,GR,0.22962000
-87.0,37.900000,GR,0.18027000
-86.9,37.900000,GR,0.13963000
-86.8,37.900000,GR,0.10844000
-86.7,37.900000,GR,0.085503000
-86.6,37.900000,GR,0.068908000
-86.5,37.900000,GR,0.056814000
-86.4,37.900000,GR,0.048149000
-89.4,38.000000,GR,0.25975000
-89.3,38.000000,GR,0.21503000
-89.2,38.000000,GR,0.17855000
-89.1,38.000000,GR,0.15476000
-89.0,38.000000,GR,0.14968000
-88.9,38.000000,GR,0.17007000
-88.8,38.000000,GR,0.21944000
-88.7,38.000000,GR,0.29183000
-88.6,38.000000,GR,0.36813000
-88.5,38.000000,GR,0.42208000
-88.4,38.000000,GR,0.43513000
-88.3,38.000000,GR,0.40880000
-88.2,38.000000,GR,0.36357000
-88.1,38.000000,GR,0.32555000
-88.0,38.000000,GR,0.31205000
-87.9,38.000000,GR,0.32513000
-87.8,38.000000,GR,0.35464000
-87.7,38.000000,GR,0.38547000
-87.6,38.000000,GR,0.40367000
-87.5,38.000000,GR,0.40052000
-87.4,38.000000,GR,0.37476000
-87.3,38.000000,GR,0.33162000
-87.2,38.000000,GR,0.27960000
-87.1,38.000000,GR,0.22704000
-87.0,38.000000,GR,0.17993000
-86.9,38.000000,GR,0.14119000
-86.8,38.000000,GR,0.11119000
-86.7,38.000000,GR,0.088773000
-86.6,38.000000,GR,0.072244000
-86.5,38.000000,GR,0.059975000
-86.4,38.000000,GR,0.050724000
-89.5,38.100000,GR,0.32246000
-89.4,38.100000,GR,0.26419000
-89.3,38.100000,GR,0.21344000
-89.2,38.100000,GR,0.17195000
-89.1,38.100000,GR,0.14199000
-89.0,38.100000,GR,0.12632000
-88.9,38.100000,GR,0.12770000
-88.8,38.100000,GR,0.14700000
-88.7,38.100000,GR,0.18046000
-88.6,38.100000,GR,0.21890000
-88.5,38.100000,GR,0.25103000
-88.4,38.100000,GR,0.26946000
-88.3,38.100000,GR,0.27518000
-88.2,38.100000,GR,0.27781000
-88.1,38.100000,GR,0.29175000
-88.0,38.100000,GR,0.32531000
-87.9,38.100000,GR,0.36649000
-87.8,38.100000,GR,0.39366000
-87.7,38.100000,GR,0.40537000
-87.6,38.100000,GR,0.40817000
