lon,lat,type,a
-90.2,35.2,GR,0.44578000
-90.1,35.2,GR,0.81036000
-90.0,35.2,GR,1.2445000
-89.9,35.2,GR,1.3210000
-89.8,35.2,GR,0.95898000
-89.7,35.2,GR,0.53119000
-91.7,35.3,GR,0.083532000
-91.6,35.3,GR,0.063972000
-91.5,35.3,GR,0.059873000
-91.4,35.3,GR,0.060399000
-91.3,35.3,GR,0.062624000
-91.2,35.3,GR,0.065816000
-91.1,35.3,GR,0.069623000
-91.0,35.3,GR,0.073862000
-90.9,35.3,GR,0.078945000
-90.8,35.3,GR,0.087706000
-90.7,35.3,GR,0.11397000
-90.6,35.3,GR,0.18634000
-90.5,35.3,GR,0.33075000
-90.4,35.3,GR,0.50202000
-90.3,35.3,GR,0.57101000
-90.2,35.3,GR,0.55239000
-90.1,35.3,GR,0.60383000
-90.0,35.3,GR,0.72624000
-89.9,35.3,GR,0.74486000
-89.8,35.3,GR,0.59868000
-89.7,35.3,GR,0.40844000
-89.6,35.3,GR,0.26644000
-91.6,35.4,GR,0.065674000
-91.5,35.4,GR,0.065004000
-91.4,35.4,GR,0.066757000
-91.3,35.4,GR,0.069750000
-91.2,35.4,GR,0.073467000
-91.1,35.4,GR,0.077520000
-91.0,35.4,GR,0.081793000
-90.9,35.4,GR,0.087778000
-90.8,35.4,GR,0.11009000
-90.7,35.4,GR,0.20970000
-90.6,35.4,GR,0.51351000
-90.5,35.4,GR,1.0977000
-90.4,35.4,GR,1.4667000
-90.3,35.4,GR,1.3160000
-90.2,35.4,GR,0.99490000
-90.1,35.4,GR,0.74746000
-90.0,35.4,GR,0.62411000
-89.9,35.4,GR,0.55643000
-89.8,35.4,GR,0.48874000
-89.7,35.4,GR,0.40764000
-89.6,35.4,GR,0.32155000
-89.5,35.4,GR,0.24125000
-91.4,35.5,GR,0.075997000
-91.3,35.5,GR,0.080256000
-91.2,35.5,GR,0.084953000
-91.1,35.5,GR,0.089602000
-91.0,35.5,GR,0.094255000
-90.9,35.5,GR,0.10472000
-90.8,35.5,GR,0.16135000
-90.7,35.5,GR,0.45186000
-90.6,35.5,GR,1.5648000
-90.5,35.5,GR,3.8931000
-90.4,35.5,GR,4.1809000
-90.3,35.5,GR,2.3766000
-90.2,35.5,GR,1.5304000
-90.1,35.5,GR,1.1610000
-90.0,35.5,GR,0.88545000
-89.9,35.5,GR,0.70687000
-89.8,35.5,GR,0.61079000
-89.7,35.5,GR,0.53526000
-89.6,35.5,GR,0.44054000
-89.5,35.5,GR,0.33301000
-89.4,35.5,GR,0.23537000
-89.3,35.5,GR,0.16174000
-91.3,35.6,GR,0.094678000
-91.2,35.6,GR,0.10247000
-91.1,35.6,GR,0.10970000
-91.0,35.6,GR,0.11661000
-90.9,35.6,GR,0.12931000
-90.8,35.6,GR,0.19242000
-90.7,35.6,GR,0.51219000
-90.6,35.6,GR,1.7349000
-90.5,35.6,GR,4.1875000
-90.4,35.6,GR,4.3693000
-90.3,35.6,GR,2.4914000
-90.2,35.6,GR,1.8813000
-90.1,35.6,GR,1.7458000
-90.0,35.6,GR,1.4684000
-89.9,35.6,GR,1.1149000
-89.8,35.6,GR,0.87427000
-89.7,35.6,GR,0.73629000
-89.6,35.6,GR,0.59222000
-89.5,35.6,GR,0.43398000
-89.4,35.6,GR,0.29812000
-89.3,35.6,GR,0.20154000
-89.2,35.6,GR,0.14190000
-91.2,35.7,GR,0.12784000
-91.1,35.7,GR,0.13718000
-91.0,35.7,GR,0.14553000
-90.9,35.7,GR,0.15782000
-90.8,35.7,GR,0.19605000
-90.7,35.7,GR,0.34497000
-90.6,35.7,GR,0.80647000
-90.5,35.7,GR,1.5704000
-90.4,35.7,GR,1.8463000
-90.3,35.7,GR,1.7534000
-90.2,35.7,GR,2.0991000
-90.1,35.7,GR,2.8524000
-90.0,35.7,GR,3.1201000
-89.9,35.7,GR,2.4605000
-89.8,35.7,GR,1.6498000
-89.7,35.7,GR,1.1130000
-89.6,35.7,GR,0.78670000
-89.5,35.7,GR,0.56470000
-89.4,35.7,GR,0.39885000
-89.3,35.7,GR,0.26463000
-89.2,35.7,GR,0.17825000
