lon,lat,type,a
-87.1,37.600000,GR,0.26090000
-87.0,37.600000,GR,0.22050000
-86.9,37.600000,GR,0.18390000
-86.8,37.600000,GR,0.15160000
-86.7,37.600000,GR,0.12390000
-86.6,37.600000,GR,0.10080000
-88.4,37.700000,GR,1.0720000
-88.3,37.700000,GR,1.0190000
-88.2,37.700000,GR,0.95710000
-88.1,37.700000,GR,0.89020000
-88.0,37.700000,GR,0.82100000
-87.9,37.700000,GR,0.75230000
-87.8,37.700000,GR,0.68600000
-87.7,37.700000,GR,0.62230000
-87.6,37.700000,GR,0.56150000
-87.5,37.700000,GR,0.50300000
-87.4,37.700000,GR,0.44650000
-87.3,37.700000,GR,0.39190000
-87.2,37.700000,GR,0.33970000
-87.1,37.700000,GR,0.29030000
-87.0,37.700000,GR,0.24500000
-86.9,37.700000,GR,0.20460000
-86.8,37.700000,GR,0.16950000
-86.7,37.700000,GR,0.13990000
-86.6,37.700000,GR,0.11570000
-86.5,37.700000,GR,0.096190000
-89.0,37.800000,GR,1.0520000
-88.9,37.800000,GR,1.0750000
-88.8,37.800000,GR,1.0900000
-88.7,37.800000,GR,1.0950000
-88.6,37.800000,GR,1.0900000
-88.5,37.800000,GR,1.0730000
-88.4,37.800000,GR,1.0440000
-88.3,37.800000,GR,1.0050000
-88.2,37.800000,GR,0.95840000
-88.1,37.800000,GR,0.90620000
-88.0,37.800000,GR,0.85040000
-87.9,37.800000,GR,0.79260000
-87.8,37.800000,GR,0.73390000
-87.7,37.800000,GR,0.67450000
-87.6,37.800000,GR,0.61450000
-87.5,37.800000,GR,0.55380000
-87.4,37.800000,GR,0.49290000
-87.3,37.800000,GR,0.43240000
-87.2,37.800000,GR,0.37380000
-87.1,37.800000,GR,0.31850000
-87.0,37.800000,GR,0.26800000
-86.9,37.800000,GR,0.22360000
-86.8,37.800000,GR,0.18570000
-86.7,37.800000,GR,0.15470000
-86.6,37.800000,GR,0.12990000
-86.5,37.800000,GR,0.11050000
-89.3,37.900000,GR,0.89120000
-89.2,37.900000,GR,0.92050000
-89.1,37.900000,GR,0.94930000
-89.0,37.900000,GR,0.97670000
-88.9,37.900000,GR,1.0010000
-88.8,37.900000,GR,1.0200000
-88.7,37.900000,GR,1.0310000
-88.6,37.900000,GR,1.0340000
-88.5,37.900000,GR,1.0280000
-88.4,37.900000,GR,1.0130000
-88.3,37.900000,GR,0.99020000
-88.2,37.900000,GR,0.95920000
-88.1,37.900000,GR,0.92220000
-88.0,37.900000,GR,0.88000000
-87.9,37.900000,GR,0.83330000
-87.8,37.900000,GR,0.78190000
-87.7,37.900000,GR,0.72630000
-87.6,37.900000,GR,0.66650000
-87.5,37.900000,GR,0.60300000
-87.4,37.900000,GR,0.53680000
-87.3,37.900000,GR,0.47010000
-87.2,37.900000,GR,0.40490000
-87.1,37.900000,GR,0.34350000
-87.0,37.900000,GR,0.28800000
-86.9,37.900000,GR,0.23980000
-86.8,37.900000,GR,0.19960000
-86.7,37.900000,GR,0.16750000
-86.6,37.900000,GR,0.14260000
-86.5,37.900000,GR,0.12370000
-86.4,37.900000,GR,0.10950000
-89.4,38.000000,GR,0.81200000
-89.3,38.000000,GR,0.83430000
-89.2,38.000000,GR,0.85810000
-89.1,38.000000,GR,0.88260000
-89.0,38.000000,GR,0.90720000
-88.9,38.000000,GR,0.93010000
-88.8,38.000000,GR,0.95020000
-88.7,38.000000,GR,0.96600000
-88.6,38.000000,GR,0.97670000
-88.5,38.000000,GR,0.98140000
-88.4,38.000000,GR,0.97940000
-88.3,38.000000,GR,0.97110000
-88.2,38.000000,GR,0.95600000
-88.1,38.000000,GR,0.93410000
-88.0,38.000000,GR,0.90550000
-87.9,38.000000,GR,0.86920000
-87.8,38.000000,GR,0.82520000
-87.7,38.000000,GR,0.77280000
-87.6,38.000000,GR,0.71250000
-87.5,38.000000,GR,0.64580000
-87.4,38.000000,GR,0.57460000
-87.3,38.000000,GR,0.50180000
-87.2,38.000000,GR,0.43040000
-87.1,38.000000,GR,0.36350000
-87.0,38.000000,GR,0.30350000
-86.9,38.000000,GR,0.25210000
-86.8,38.000000,GR,0.21020000
-86.7,38.000000,GR,0.17720000
-86.6,38.000000,GR,0.15260000
-86.5,38.000000,GR,0.13460000
-86.4,38.000000,GR,0.12170000
-89.5,38.100000,GR,0.75840000
-89.4,38.100000,GR,0.77220000
-89.3,38.100000,GR,0.78800000
-89.2,38.100000,GR,0.80540000
-89.1,38.100000,GR,0.82400000
-89.0,38.100000,GR,0.84340000
-88.9,38.100000,GR,0.86330000
-88.8,38.100000,GR,0.88260000
-88.7,38.100000,GR,0.90100000
-88.6,38.100000,GR,0.91730000
-88.5,38.100000,GR,0.93110000
-88.4,38.100000,GR,0.94120000
-88.3,38.100000,GR,0.94670000
-88.2,38.100000,GR,0.94650000
-88.1,38.100000,GR,0.93920000
-88.0,38.100000,GR,0.92290000
-87.9,38.100000,GR,0.89650000
-87.8,38.100000,GR,0.85870000
-87.7,38.100000,GR,0.80920000
-87.6,38.100000,GR,0.74850000
-87.5,38.100000,GR,0.67870000
-87.4,38.100000,GR,0.60300000
-87.3,38.100000,GR,0.52480000
-87.2,38.100000,GR,0.44820000
-87.1,38.100000,GR,0.37680000
-87.0,38.100000,GR,0.31340000
-86.9,38.100000,GR,0.25970000
-86.8,38.100000,GR,0.21650000
-86.7,38.100000,GR,0.18330000
-86.6,38.100000,GR,0.15910000
-86.5,38.100000,GR,0.14210000
-86.4,38.100000,GR,0.13040000
-86.3,38.100000,GR,0.12240000
-89.5,38.200000,GR,0.73160000
-89.4,38.200000,GR,0.73990000
-89.3,38.200000,GR,0.74950000
-89.2,38.200000,GR,0.76000000
-89.1,38.200000,GR,0.77210000
-89.0,38.200000,GR,0.78540000
-88.9,38.200000,GR,0.80070000
-88.8,38.200000,GR,0.81810000
-88.7,38.200000,GR,0.83690000
-88.6,38.200000,GR,0.85750000
-88.5,38.200000,GR,0.87840000
-88.4,38.200000,GR,0.89860000
-88.3,38.200000,GR,0.91630000
-88.2,38.200000,GR,0.92940000
-88.1,38.200000,GR,0.93460000
-88.0,38.200000,GR,0.92960000
-87.9,38.200000,GR,0.91180000
-87.8,38.200000,GR,0.87940000
-87.7,38.200000,GR,0.83200000
-87.6,38.200000,GR,0.77060000
-87.5,38.200000,GR,0.69840000
-87.4,38.200000,GR,0.61920000
-87.3,38.200000,GR,0.53700000
-87.2,38.200000,GR,0.45680000
-87.1,38.200000,GR,0.38240000
-87.0,38.200000,GR,0.31690000
-86.9,38.200000,GR,0.26200000
-86.8,38.200000,GR,0.21830000
-86.7,38.200000,GR,0.18530000
-86.6,38.200000,GR,0.16180000
-86.5,38.200000,GR,0.14580000
-86.4,38.200000,GR,0.13540000
-86.3,38.200000,GR,0.12860000
-89.6,38.300000,GR,0.70150000
-89.5,38.300000,GR,0.70620000
-89.4,38.300000,GR,0.71060000
-89.3,38.300000,GR,0.71490000
-89.2,38.300000,GR,0.71960000
-89.1,38.300000,GR,0.72480000
-89.0,38.300000,GR,0.73230000
-88.9,38.300000,GR,0.74260000
-88.8,38.300000,GR,0.75670000
-88.7,38.300000,GR,0.77500000
-88.6,38.300000,GR,0.79750000
-88.5,38.300000,GR,0.82380000
-88.4,38.300000,GR,0.85190000
-88.3,38.300000,GR,0.87940000
-88.2,38.300000,GR,0.90310000
-88.1,38.300000,GR,0.91890000
-88.0,38.300000,GR,0.92280000
-87.9,38.300000,GR,0.91170000
-87.8,38.300000,GR,0.88370000
-87.7,38.300000,GR,0.83810000
-87.6,38.300000,GR,0.77690000
-87.5,38.300000,GR,0.70310000
-87.4,38.300000,GR,0.62150000
-87.3,38.300000,GR,0.53750000
-87.2,38.300000,GR,0.45550000
-87.1,38.300000,GR,0.38000000
-87.0,38.300000,GR,0.31400000
-86.9,38.300000,GR,0.25920000
-86.8,38.300000,GR,0.21600000
-86.7,38.300000,GR,0.18380000
-86.6,38.300000,GR,0.16110000
-86.5,38.300000,GR,0.14620000
-86.4,38.300000,GR,0.13700000
-86.3,38.300000,GR,0.13150000
-86.2,38.300000,GR,0.12810000
-89.6,38.400000,GR,0.67430000
-89.5,38.400000,GR,0.67810000
-89.4,38.400000,GR,0.68010000
-89.3,38.400000,GR,0.68050000
-89.2,38.400000,GR,0.68020000
-89.1,38.400000,GR,0.68050000
-89.0,38.400000,GR,0.68230000
-88.9,38.400000,GR,0.68780000
-88.8,38.400000,GR,0.69820000
-88.7,38.400000,GR,0.71490000
-88.6,38.400000,GR,0.73810000
-88.5,38.400000,GR,0.76710000
-88.4,38.400000,GR,0.80040000
-88.3,38.400000,GR,0.83480000
-88.2,38.400000,GR,0.86610000
-88.1,38.400000,GR,0.88950000
-88.0,38.400000,GR,0.90000000
-87.9,38.400000,GR,0.89430000
-87.8,38.400000,GR,0.86960000
-87.7,38.400000,GR,0.82590000
-87.6,38.400000,GR,0.76510000
-87.5,38.400000,GR,0.69140000
-87.4,38.400000,GR,0.60990000
-87.3,38.400000,GR,0.52590000
-87.2,38.400000,GR,0.44460000
-87.1,38.400000,GR,0.37010000
-87.0,38.400000,GR,0.30550000
-86.9,38.400000,GR,0.25220000
-86.8,38.400000,GR,0.21050000
-86.7,38.400000,GR,0.17980000
-86.6,38.400000,GR,0.15860000
