lon,lat,type,a
-91.1,35.200000,GR,0.50690000
-91.0,35.200000,GR,0.57880000
-90.9,35.200000,GR,0.65720000
-90.8,35.200000,GR,0.73800000
-90.7,35.200000,GR,0.81720000
-90.6,35.200000,GR,0.89020000
-90.5,35.200000,GR,0.95320000
-90.4,35.200000,GR,1.0020000
-90.3,35.200000,GR,1.0340000
-90.2,35.200000,GR,1.0480000
-90.1,35.200000,GR,1.0430000
-90.0,35.200000,GR,1.0190000
-89.9,35.200000,GR,0.97710000
-89.8,35.200000,GR,0.92080000
-89.7,35.200000,GR,0.85240000
-91.7,35.300000,GR,0.45960000
-91.6,35.300000,GR,0.41300000
-91.5,35.300000,GR,0.39440000
-91.4,35.300000,GR,0.40410000
-91.3,35.300000,GR,0.43930000
-91.2,35.300000,GR,0.49530000
-91.1,35.300000,GR,0.56720000
-91.0,35.300000,GR,0.65020000
-90.9,35.300000,GR,0.73940000
-90.8,35.300000,GR,0.83030000
-90.7,35.300000,GR,0.91790000
-90.6,35.300000,GR,0.99870000
-90.5,35.300000,GR,1.0670000
-90.4,35.300000,GR,1.1210000
-90.3,35.300000,GR,1.1580000
-90.2,35.300000,GR,1.1750000
-90.1,35.300000,GR,1.1720000
-90.0,35.300000,GR,1.1510000
-89.9,35.300000,GR,1.1110000
-89.8,35.300000,GR,1.0550000
-89.7,35.300000,GR,0.98580000
-89.6,35.300000,GR,0.90610000
-91.6,35.400000,GR,0.41670000
-91.5,35.400000,GR,0.41180000
-91.4,35.400000,GR,0.43370000
-91.3,35.400000,GR,0.47970000
-91.2,35.400000,GR,0.54560000
-91.1,35.400000,GR,0.62660000
-91.0,35.400000,GR,0.71800000
-90.9,35.400000,GR,0.81480000
-90.8,35.400000,GR,0.91240000
-90.7,35.400000,GR,1.0060000
-90.6,35.400000,GR,1.0910000
-90.5,35.400000,GR,1.1630000
-90.4,35.400000,GR,1.2210000
-90.3,35.400000,GR,1.2600000
-90.2,35.400000,GR,1.2800000
-90.1,35.400000,GR,1.2830000
-90.0,35.400000,GR,1.2650000
-89.9,35.400000,GR,1.2300000
-89.8,35.400000,GR,1.1780000
-89.7,35.400000,GR,1.1120000
-89.6,35.400000,GR,1.0340000
-89.5,35.400000,GR,0.94670000
-91.4,35.500000,GR,0.46810000
-91.3,35.500000,GR,0.52490000
-91.2,35.500000,GR,0.59880000
-91.1,35.500000,GR,0.68580000
-91.0,35.500000,GR,0.78160000
-90.9,35.500000,GR,0.88190000
-90.8,35.500000,GR,0.98130000
-90.7,35.500000,GR,1.0760000
-90.6,35.500000,GR,1.1630000
-90.5,35.500000,GR,1.2370000
